tempo_arduino_us,tempo_relogio_pc,contador,ax,ay,az,gx,gy,gz
10579916.0,366147.4272291,126.0,1.0,-0.0,-0.04,-3.66,0.12,-0.3
10584576.0,366147.4736907,127.0,1.0,0.0,-0.04,-3.66,0.18,-0.24
10589224.0,366147.5277374,128.0,1.0,-0.0,-0.04,-3.54,0.12,-0.37
10593880.0,366147.5744061,129.0,1.0,-0.0,-0.04,-3.48,0.18,-0.55
10598540.0,366147.629402,130.0,1.0,-0.01,-0.04,-3.48,-0.12,-0.49
10603208.0,366147.6837412,131.0,1.0,-0.0,-0.04,-3.54,-0.06,-0.24
10607868.0,366147.7300701,132.0,1.01,-0.0,-0.04,-3.54,0.12,-0.18
10612524.0,366147.7848688,133.0,1.0,-0.01,-0.04,-3.41,0.06,-0.3
10617176.0,366147.8320516,134.0,1.0,-0.01,-0.04,-3.29,0.24,-0.24
10621844.0,366147.8871008,135.0,1.0,-0.0,-0.04,-3.54,0.06,-0.55
10626492.0,366147.9426799,136.0,1.01,-0.01,-0.04,-3.54,0.24,-0.12
10631160.0,366147.9448123,137.0,1.0,-0.0,-0.04,-3.72,0.12,-0.37
10635820.0,366148.0449973,138.0,1.0,-0.0,-0.04,-3.78,0.18,-0.12
10640484.0,366148.0986179,139.0,1.0,-0.0,-0.04,-3.78,0.3,-0.24
10645140.0,366148.1004381,140.0,1.01,-0.01,-0.04,-3.54,0.24,-0.06
10649808.0,366148.2016783,141.0,0.99,-0.01,-0.04,-3.72,0.0,-0.3
10654432.0,366148.2221507,142.0,1.0,-0.01,-0.04,-3.54,-0.12,-0.24
10659100.0,366148.3044269,143.0,1.0,-0.0,-0.05,-3.6,0.24,-0.24
10663744.0,366148.3525294,144.0,1.0,-0.01,-0.04,-3.84,0.18,-0.37
10668408.0,366148.4088527,145.0,1.0,-0.01,-0.04,-3.48,0.37,-0.3
10673072.0,366148.4629361,146.0,1.0,-0.01,-0.04,-3.23,0.18,-0.18
10677740.0,366148.5159463,147.0,1.0,-0.01,-0.04,-3.48,0.3,-0.3
10682416.0,366148.5685946,148.0,1.0,-0.01,-0.04,-3.48,0.12,-0.24
10687072.0,366148.6246524,149.0,1.0,-0.0,-0.05,-3.29,-0.06,-0.18
